Id,Predicted
2539,2785668441073.867
5121,2785668441073.867
5203,3300980696513.8203
5238,-2478835394250.1484
6848,-2994147649722.1094
7322,3300980696513.8203
7726,-2994147649722.1094
7750,-2478835394250.1484
8025,2785668441073.867
9783,3300980696513.8203
12048,-1585103531335.3828
14287,-2478835394250.1484
14290,-2994147649722.1094
14314,-2994147649722.1094
14322,-2478835394250.1484
15711,-2478835394250.1484
16421,3300980696513.8203
18127,-2478835394250.1484
18728,3300980696513.8203
19601,-2994147649722.1094
20299,3300980696513.8203
20724,2785668441073.867
20853,-2994147649722.1094
20913,-2994147649722.1094
21293,-2994147649722.1094
22911,-2994147649722.1094
25406,-2994147649722.1094
27531,2785668441073.867
27659,-2994147649722.1094
28321,2785668441073.867
29013,2785668441073.867
29455,-2478835394250.1484
32037,2785668441073.867
32100,-2994147649722.1094
32965,-2994147649722.1094
32969,-2994147649722.1094
33223,2785668441073.867
36121,2785668441073.867
36442,-2994147649722.1094
38638,-2478835394250.1484
40039,2785668441073.867
42580,2785668441073.867
43957,2785668441073.867
44096,2895812664660.461
44212,3300980696513.8203
44221,-2478835394250.1484
47926,-2478835394250.1484
50447,-2994147649722.1094
51572,3300980696513.8203
53137,-2478835394250.1484
55498,2785668441073.867
55982,2785668441073.867
57297,-2994147649722.1094
57618,-2478835394250.1484
57874,-2478835394250.1484
58059,3300980696513.8203
58467,3300980696513.8203
60164,-2478835394250.1484
60666,3300980696513.8203
60794,-2478835394250.1484
61406,3300980696513.8203
62427,-2478835394250.1484
63299,2785668441073.867
63657,-2994147649722.1094
63719,2785668441073.867
64277,2785668441073.867
64837,3300980696513.8203
65562,-2478835394250.1484
65615,-2994147649722.1094
66741,-2994147649722.1094
67299,-2994147649722.1094
68305,3300980696513.8203
68765,-2994147649722.1094
69921,2785668441073.867
71248,-2478835394250.1484
72265,2785668441073.867
74073,-2994147649722.1094
77765,2785668441073.867
82638,-2478835394250.1484
83446,-2994147649722.1094
84059,-2994147649722.1094
89621,-2994147649722.1094
93313,-2994147649722.1094
98663,-2478835394250.1484
112435,2785668441073.867
117425,-2994147649722.1094
118061,-2994147649722.1094
120362,-2994147649722.1094
121861,-2994147649722.1094
123784,-2478835394250.1484
132695,-2994147649722.1094
138216,-2994147649722.1094
140973,-2478835394250.1484
144087,-2478835394250.1484
145188,-2478835394250.1484
148825,-2478835394250.1484
150804,-2478835394250.1484
151478,2785668441073.867
152263,-2478835394250.1484
155296,-2994147649722.1094
161366,3330787464747.3984
162493,-2994147649722.1094
162508,-2994147649722.1094
163836,2785668441073.867
165824,3330787464747.3984
166541,3300980696513.8203
167482,-2478835394250.1484
168546,-2478835394250.1484
170420,-2478835394250.1484
172700,3300980696513.8203
172870,3300980696513.8203
174966,-2478835394250.1484
176135,-2994147649722.1094
180507,-2449028626075.086
188674,-2478835394250.1484
193105,3300980696513.8203
193333,2785668441073.867
195233,2785668441073.867
195971,-2994147649722.1094
200645,-1585103531335.3828
204833,2785668441073.867
206772,-2994147649722.1094
206957,-2994147649722.1094
208889,-2994147649722.1094
213272,2785668441073.867
219818,-2478835394250.1484
220351,3300980696513.8203
220946,-2478835394250.1484
221043,3300980696513.8203
221097,-2994147649722.1094
225297,-2478835394250.1484
226021,-2994147649722.1094
227735,-2478835394250.1484
230321,-2994147649722.1094
232618,-2478835394250.1484
234184,-2478835394250.1484
236788,-2994147649722.1094
239899,-2994147649722.1094
243708,-2994147649722.1094
246351,-2478835394250.1484
250311,2785668441073.867
250536,3300980696513.8203
251262,2785668441073.867
251277,3300980696513.8203
253815,-2994147649722.1094
254409,-2994147649722.1094
255476,2785668441073.867
255601,-2994147649722.1094
256369,2785668441073.867
258686,3330787464747.3984
258740,3300980696513.8203
262343,-2478835394250.1484
262405,-2994147649722.1094
262478,3300980696513.8203
263502,-2994147649722.1094
265506,-2478835394250.1484
265831,-2478835394250.1484
266756,-2478835394250.1484
267376,3300980696513.8203
267652,2785668441073.867
268392,-2478835394250.1484
268481,-2994147649722.1094
269889,3330787464747.3984
270231,3330787464747.3984
270345,-2478835394250.1484
270680,2785668441073.867
271128,2785668441073.867
271694,-2478835394250.1484
272026,-2478835394250.1484
274376,-2994147649722.1094
276317,-2994147649722.1094
281756,-2994147649722.1094
282514,2785668441073.867
282977,2785668441073.867
283184,-2994147649722.1094
284208,2785668441073.867
