Id,Predicted
2539,75.66984145687998
5121,75.66984145687998
5203,117.47421095542707
5238,245.7476799455237
6848,176.52706307376738
7322,117.47421095542707
7726,176.52706307376738
7750,245.7476799455237
8025,75.66984145687998
9783,117.47421095542707
12048,112.94087097269276
14287,245.7476799455237
14290,176.52706307376738
14314,176.52706307376738
14322,245.7476799455237
15711,245.7476799455237
16421,117.47421095542707
18127,245.7476799455237
18728,117.47421095542707
19601,176.52706307376738
20299,117.47421095542707
20724,75.66984145687998
20853,176.52706307376738
20913,176.52706307376738
21293,176.52706307376738
22911,176.52706307376738
25406,176.52706307376738
27531,75.66984145687998
27659,176.52706307376738
28321,75.66984145687998
29013,75.66984145687998
29455,245.7476799455237
32037,75.66984145687998
32100,176.52706307376738
32965,176.52706307376738
32969,176.52706307376738
33223,75.66984145687998
36121,75.66984145687998
36442,176.52706307376738
38638,245.7476799455237
40039,75.66984145687998
42580,75.66984145687998
43957,75.66984145687998
44096,96.72903426263684
44212,117.47421095542707
44221,245.7476799455237
47926,245.7476799455237
50447,176.52706307376738
51572,117.47421095542707
53137,245.7476799455237
55498,75.66984145687998
55982,75.66984145687998
57297,176.52706307376738
57618,245.7476799455237
57874,245.7476799455237
58059,117.47421095542707
58467,117.47421095542707
60164,245.7476799455237
60666,117.47421095542707
60794,245.7476799455237
61406,117.47421095542707
62427,245.7476799455237
63299,75.66984145687998
63657,176.52706307376738
63719,75.66984145687998
64277,75.66984145687998
64837,117.47421095542707
65562,245.7476799455237
65615,176.52706307376738
66741,176.52706307376738
67299,176.52706307376738
68305,117.47421095542707
68765,176.52706307376738
69921,75.66984145687998
71248,245.7476799455237
72265,75.66984145687998
74073,176.52706307376738
77765,75.66984145687998
82638,245.7476799455237
83446,176.52706307376738
84059,176.52706307376738
89621,176.52706307376738
93313,176.52706307376738
98663,245.7476799455237
112435,75.66984145687998
117425,176.52706307376738
118061,176.52706307376738
120362,176.52706307376738
121861,176.52706307376738
123784,245.7476799455237
132695,176.52706307376738
138216,176.52706307376738
140973,245.7476799455237
144087,245.7476799455237
145188,245.7476799455237
148825,245.7476799455237
150804,245.7476799455237
151478,75.66984145687998
152263,245.7476799455237
155296,176.52706307376738
161366,70.50811391926784
162493,176.52706307376738
162508,176.52706307376738
163836,75.66984145687998
165824,70.50811391926784
166541,117.47421095542707
167482,245.7476799455237
168546,245.7476799455237
170420,245.7476799455237
172700,117.47421095542707
172870,117.47421095542707
174966,245.7476799455237
176135,176.52706307376738
180507,157.86254189567973
188674,245.7476799455237
193105,117.47421095542707
193333,75.66984145687998
195233,75.66984145687998
195971,176.52706307376738
200645,112.94087097269276
204833,75.66984145687998
206772,176.52706307376738
206957,176.52706307376738
208889,176.52706307376738
213272,75.66984145687998
219818,245.7476799455237
220351,117.47421095542707
220946,245.7476799455237
221043,117.47421095542707
221097,176.52706307376738
225297,245.7476799455237
226021,176.52706307376738
227735,245.7476799455237
230321,176.52706307376738
232618,245.7476799455237
234184,245.7476799455237
236788,176.52706307376738
239899,176.52706307376738
243708,176.52706307376738
246351,245.7476799455237
250311,75.66984145687998
250536,117.47421095542707
251262,75.66984145687998
251277,117.47421095542707
253815,176.52706307376738
254409,176.52706307376738
255476,75.66984145687998
255601,176.52706307376738
256369,75.66984145687998
258686,70.50811391926784
258740,117.47421095542707
262343,245.7476799455237
262405,176.52706307376738
262478,117.47421095542707
263502,176.52706307376738
265506,245.7476799455237
265831,245.7476799455237
266756,245.7476799455237
267376,117.47421095542707
267652,75.66984145687998
268392,245.7476799455237
268481,176.52706307376738
269889,70.50811391926784
270231,70.50811391926784
270345,245.7476799455237
270680,75.66984145687998
271128,75.66984145687998
271694,245.7476799455237
272026,245.7476799455237
274376,176.52706307376738
276317,176.52706307376738
281756,176.52706307376738
282514,75.66984145687998
282977,75.66984145687998
283184,176.52706307376738
284208,75.66984145687998
286838,117.47421095542707
287397,176.52706307376738
287408,245.7476799455237
289288,245.7476799455237
290457,245.7476799455237
293004,245.7476799455237
295231,75.66984145687998
295379,176.52706307376738
296361,70.50811391926784
297962,75.66984145687998
298759,75.66984145687998
301034,117.47421095542707
303345,245.7476799455237
310338,117.47421095542707
317905,176.52706307376738
320876,176.52706307376738
329064,176.52706307376738
333189,75.66984145687998
334607,176.52706307376738
335819,176.52706307376738
342995,117.47421095542707
351530,176.52706307376738
353317,245.7476799455237
359982,75.66984145687998
360400,117.47421095542707
361803,112.94087097269276
364785,75.66984145687998
369411,75.66984145687998
380416,176.52706307376738
380730,176.52706307376738
386555,94.29243423993171
387377,245.7476799455237
393016,117.47421095542707
394026,75.66984145687998
397034,117.47421095542707
398281,245.7476799455237
404502,75.66984145687998
430665,245.7476799455237
431865,245.7476799455237
433218,176.52706307376738
437906,245.7476799455237
438513,176.52706307376738
443646,245.7476799455237
447766,117.47421095542707
448048,70.50811391926784
453161,176.52706307376738
454763,245.7476799455237
454929,245.7476799455237
455734,245.7476799455237
457829,245.7476799455237
461050,176.52706307376738
467634,39.365609653511825
476570,245.7476799455237
478949,245.7476799455237
479002,176.52706307376738
479285,70.50811391926784
483414,75.66984145687998
484728,176.52706307376738
486350,176.52706307376738
488083,176.52706307376738
490011,75.66984145687998
491977,245.7476799455237
